Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,9.970000,9.970000,9.970000,9.970000,8.886168,0
2022-03-08,9.940000,9.940000,9.940000,9.940000,8.859427,0
2022-03-09,10.060000,10.060000,10.060000,10.060000,8.966384,0
2022-03-10,10.030000,10.030000,10.030000,10.030000,8.939645,0
2022-03-11,9.990000,9.990000,9.990000,9.990000,8.903993,0
2022-03-14,9.940000,9.940000,9.940000,9.940000,8.859427,0
2022-03-15,9.970000,9.970000,9.970000,9.970000,8.886168,0
2022-03-16,10.090000,10.090000,10.090000,10.090000,8.993123,0
2022-03-17,10.160000,10.160000,10.160000,10.160000,9.055511,0
2022-03-18,10.210000,10.210000,10.210000,10.210000,9.100077,0
2022-03-21,10.160000,10.160000,10.160000,10.160000,9.055511,0
2022-03-22,10.180000,10.180000,10.180000,10.180000,9.073338,0
2022-03-23,10.140000,10.140000,10.140000,10.140000,9.037690,0
2022-03-24,10.160000,10.160000,10.160000,10.160000,9.055511,0
2022-03-25,10.150000,10.150000,10.150000,10.150000,9.046600,0
2022-03-28,10.170000,10.170000,10.170000,10.170000,9.064426,0
2022-03-29,10.270000,10.270000,10.270000,10.270000,9.153556,0
2022-03-30,10.270000,10.270000,10.270000,10.270000,9.153556,0
2022-03-31,10.160000,10.160000,10.160000,10.160000,9.055511,0
2022-04-01,10.160000,10.160000,10.160000,10.160000,9.055511,0
2022-04-04,10.200000,10.200000,10.200000,10.200000,9.091165,0
2022-04-05,10.140000,10.140000,10.140000,10.140000,9.037690,0
2022-04-06,10.080000,10.080000,10.080000,10.080000,8.984209,0
2022-04-07,10.080000,10.080000,10.080000,10.080000,8.984209,0
2022-04-08,10.060000,10.060000,10.060000,10.060000,8.966384,0
2022-04-11,9.980000,9.980000,9.980000,9.980000,8.895082,0
2022-04-12,9.970000,9.970000,9.970000,9.970000,8.886168,0
2022-04-13,10.010000,10.010000,10.010000,10.010000,8.921819,0
2022-04-14,9.970000,9.970000,9.970000,9.970000,8.886168,0
2022-04-18,null,null,null,null,null,null
2022-04-19,9.980000,9.980000,9.980000,9.980000,8.895082,0
2022-04-20,10.010000,10.010000,10.010000,10.010000,8.921819,0
2022-04-21,9.940000,9.940000,9.940000,9.940000,8.859427,0
2022-04-22,9.830000,9.830000,9.830000,9.830000,8.761387,0
2022-04-25,9.830000,9.830000,9.830000,9.830000,8.761387,0
2022-04-26,9.750000,9.750000,9.750000,9.750000,8.690082,0
2022-04-27,9.760000,9.760000,9.760000,9.760000,8.698995,0
2022-04-28,9.800000,9.800000,9.800000,9.800000,8.734650,0
2022-04-29,9.640000,9.640000,9.640000,9.640000,8.592041,0
2022-05-02,9.600000,9.600000,9.600000,9.600000,8.556390,0
2022-05-03,9.640000,9.640000,9.640000,9.640000,8.592041,0
2022-05-04,9.700000,9.700000,9.700000,9.700000,8.645516,0
2022-05-05,9.590000,9.590000,9.590000,9.590000,8.547477,0
2022-05-06,9.520000,9.520000,9.520000,9.520000,8.485086,0
2022-05-09,null,null,null,null,null,null
2022-05-10,9.410000,9.410000,9.410000,9.410000,8.387042,0
2022-05-11,9.390000,9.390000,9.390000,9.390000,8.369221,0
2022-05-12,9.380000,9.380000,9.380000,9.380000,8.360306,0
2022-05-13,9.440000,9.440000,9.440000,9.440000,8.413783,0
2022-05-16,9.450000,9.450000,9.450000,9.450000,8.422696,0
2022-05-17,9.470000,9.470000,9.470000,9.470000,8.440522,0
2022-05-18,9.400000,9.400000,9.400000,9.400000,8.378133,0
2022-05-19,9.390000,9.390000,9.390000,9.390000,8.369221,0
2022-05-20,9.420000,9.420000,9.420000,9.420000,8.395955,0
2022-05-24,9.460000,9.460000,9.460000,9.460000,8.431608,0
2022-05-25,9.510000,9.510000,9.510000,9.510000,8.476174,0
2022-05-26,null,null,null,null,null,null
2022-05-27,9.660000,9.660000,9.660000,9.660000,8.609868,0
2022-05-30,null,null,null,null,null,null
2022-05-31,9.570000,9.570000,9.570000,9.570000,8.529652,0
2022-06-01,9.540000,9.540000,9.540000,9.540000,8.502910,0
2022-06-02,9.570000,9.570000,9.570000,9.570000,8.529652,0
2022-06-03,9.540000,9.540000,9.540000,9.540000,8.502910,0
2022-06-06,null,null,null,null,null,null
2022-06-07,9.560000,9.560000,9.560000,9.560000,8.520740,0
2022-06-08,9.520000,9.520000,9.520000,9.520000,8.485086,0
2022-06-09,9.440000,9.440000,9.440000,9.440000,8.413783,0
2022-06-10,9.300000,9.300000,9.300000,9.300000,8.289005,0
2022-06-13,9.050000,9.050000,9.050000,9.050000,8.066179,0
2022-06-14,9.010000,9.010000,9.010000,9.010000,8.030529,0
2022-06-15,9.090000,9.090000,9.090000,9.090000,8.101833,0
2022-06-16,8.960000,8.960000,8.960000,8.960000,7.985963,0
2022-06-17,8.970000,8.970000,8.970000,8.970000,7.994878,0
2022-06-20,null,null,null,null,null,null
2022-06-21,9.000000,9.000000,9.000000,9.000000,8.021615,0
2022-06-22,9.000000,9.000000,9.000000,9.000000,8.021615,0
2022-06-23,null,null,null,null,null,null
2022-06-24,9.120000,9.120000,9.120000,9.120000,8.128571,0
2022-06-27,9.130000,9.130000,9.130000,9.130000,8.137484,0
2022-06-28,9.050000,9.050000,9.050000,9.050000,8.066179,0
2022-06-29,9.040000,9.040000,9.040000,9.040000,8.057266,0
2022-06-30,8.930000,8.930000,8.930000,8.930000,7.959227,0
2022-07-04,null,null,null,null,null,null
2022-07-05,8.950000,8.950000,8.950000,8.950000,7.977050,0
2022-07-06,8.930000,8.930000,8.930000,8.930000,7.959227,0
2022-07-07,8.990000,8.990000,8.990000,8.990000,8.012703,0
2022-07-08,8.990000,8.990000,8.990000,8.990000,8.012703,0
2022-07-11,8.970000,8.970000,8.970000,8.970000,7.994878,0
2022-07-12,8.950000,8.950000,8.950000,8.950000,7.977050,0
2022-07-13,8.920000,8.920000,8.920000,8.920000,7.950310,0
2022-07-14,8.870000,8.870000,8.870000,8.870000,7.905748,0
2022-07-15,8.940000,8.940000,8.940000,8.940000,7.968138,0
2022-07-18,8.960000,8.960000,8.960000,8.960000,7.985963,0
2022-07-19,9.040000,9.040000,9.040000,9.040000,8.057266,0
2022-07-20,9.070000,9.070000,9.070000,9.070000,8.084005,0
2022-07-21,9.130000,9.130000,9.130000,9.130000,8.137484,0
2022-07-22,9.150000,9.150000,9.150000,9.150000,8.155311,0
2022-07-25,9.160000,9.160000,9.160000,9.160000,8.164222,0
2022-07-26,9.150000,9.150000,9.150000,9.150000,8.155311,0
2022-07-27,9.220000,9.220000,9.220000,9.220000,8.217698,0
2022-07-28,9.290000,9.290000,9.290000,9.290000,8.280090,0
2022-07-29,9.270000,9.270000,9.270000,9.270000,8.262264,0
2022-08-02,9.240000,9.240000,9.240000,9.240000,8.235526,0
2022-08-03,9.290000,9.290000,9.290000,9.290000,8.280090,0
2022-08-04,9.310000,9.310000,9.310000,9.310000,8.297917,0
2022-08-05,9.280000,9.280000,9.280000,9.280000,8.271176,0
2022-08-08,9.310000,9.310000,9.310000,9.310000,8.297917,0
2022-08-09,9.280000,9.280000,9.280000,9.280000,8.271176,0
2022-08-10,9.370000,9.370000,9.370000,9.370000,8.351394,0
2022-08-11,9.380000,9.380000,9.380000,9.380000,8.360306,0
2022-08-12,9.430000,9.430000,9.430000,9.430000,8.404871,0
2022-08-15,null,null,null,null,null,null
2022-08-16,9.430000,9.430000,9.430000,9.430000,8.404871,0
2022-08-17,9.370000,9.370000,9.370000,9.370000,8.351394,0
2022-08-18,9.370000,9.370000,9.370000,9.370000,8.351394,0
2022-08-19,9.300000,9.300000,9.300000,9.300000,8.289005,0
2022-08-22,9.210000,9.210000,9.210000,9.210000,8.208787,0
2022-08-23,9.170000,9.170000,9.170000,9.170000,8.173134,0
2022-08-24,9.180000,9.180000,9.180000,9.180000,8.182048,0
2022-08-25,9.240000,9.240000,9.240000,9.240000,8.235526,0
2022-08-26,9.150000,9.150000,9.150000,9.150000,8.155311,0
2022-08-29,9.090000,9.090000,9.090000,9.090000,8.101833,0
2022-08-30,9.050000,9.050000,9.050000,9.050000,8.066179,0
2022-08-31,8.930000,8.930000,8.930000,8.930000,7.959227,0
2022-09-01,8.890000,8.890000,8.890000,8.890000,7.923575,0
2022-09-02,8.890000,8.890000,8.890000,8.890000,7.923575,0
2022-09-06,8.850000,8.850000,8.850000,8.850000,7.887922,0
2022-09-07,8.910000,8.910000,8.910000,8.910000,7.941399,0
2022-09-08,8.940000,8.940000,8.940000,8.940000,7.968138,0
2022-09-09,9.000000,9.000000,9.000000,9.000000,8.021615,0
