Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,8.810000,8.810000,8.810000,8.810000,7.952542,0
2022-03-08,8.680000,8.680000,8.680000,8.680000,7.835195,0
2022-03-09,8.740000,8.740000,8.740000,8.740000,7.889353,0
2022-03-10,8.750000,8.750000,8.750000,8.750000,7.898382,0
2022-03-11,8.760000,8.760000,8.760000,8.760000,7.907409,0
2022-03-14,8.700000,8.700000,8.700000,8.700000,7.853248,0
2022-03-15,8.630000,8.630000,8.630000,8.630000,7.790060,0
2022-03-16,8.750000,8.750000,8.750000,8.750000,7.898382,0
2022-03-17,8.820000,8.820000,8.820000,8.820000,7.961571,0
2022-03-18,8.900000,8.900000,8.900000,8.900000,8.033781,0
2022-03-21,8.940000,8.940000,8.940000,8.940000,8.069887,0
2022-03-22,8.950000,8.950000,8.950000,8.950000,8.078916,0
2022-03-23,8.930000,8.930000,8.930000,8.930000,8.060863,0
2022-03-24,8.920000,8.920000,8.920000,8.920000,8.051836,0
2022-03-25,8.960000,8.960000,8.960000,8.960000,8.087943,0
2022-03-28,null,null,null,null,null,null
2022-03-29,9.060000,9.060000,9.060000,9.060000,8.178210,0
2022-03-30,9.110000,9.110000,9.110000,9.110000,8.223344,0
2022-03-31,null,null,null,null,null,null
2022-04-01,8.990000,8.990000,8.990000,8.990000,8.115024,0
2022-04-04,null,null,null,null,null,null
2022-04-05,9.040000,9.040000,9.040000,9.040000,8.160156,0
2022-04-06,null,null,null,null,null,null
2022-04-07,8.900000,8.900000,8.900000,8.900000,8.033781,0
2022-04-08,8.870000,8.870000,8.870000,8.870000,8.006701,0
2022-04-11,null,null,null,null,null,null
2022-04-12,8.840000,8.840000,8.840000,8.840000,7.979623,0
2022-04-13,8.790000,8.790000,8.790000,8.790000,7.934489,0
2022-04-14,8.830000,8.830000,8.830000,8.830000,7.970597,0
2022-04-18,null,null,null,null,null,null
2022-04-19,null,null,null,null,null,null
2022-04-20,8.840000,8.840000,8.840000,8.840000,7.979623,0
2022-04-21,8.880000,8.880000,8.880000,8.880000,8.015729,0
2022-04-22,null,null,null,null,null,null
2022-04-25,8.590000,8.590000,8.590000,8.590000,7.753956,0
2022-04-26,8.630000,8.630000,8.630000,8.630000,7.790060,0
2022-04-27,8.580000,8.580000,8.580000,8.580000,7.744929,0
2022-04-28,8.550000,8.550000,8.550000,8.550000,7.717846,0
2022-04-29,8.540000,8.540000,8.540000,8.540000,7.708820,0
2022-05-02,null,null,null,null,null,null
2022-05-03,8.400000,8.400000,8.400000,8.400000,7.582445,0
2022-05-04,8.390000,8.390000,8.390000,8.390000,7.573419,0
2022-05-05,8.450000,8.450000,8.450000,8.450000,7.627579,0
2022-05-06,8.260000,8.260000,8.260000,8.260000,7.456072,0
2022-05-09,null,null,null,null,null,null
2022-05-10,null,null,null,null,null,null
2022-05-11,8.160000,8.160000,8.160000,8.160000,7.365805,0
2022-05-12,8.030000,8.030000,8.030000,8.030000,7.248457,0
2022-05-13,8.110000,8.110000,8.110000,8.110000,7.320672,0
2022-05-16,8.120000,8.120000,8.120000,8.120000,7.329699,0
